гостиница	hotel, ﻫﺘﻞ
мотель	motel, ﻣﺘﻞ
3 звезды	se setāre, ﺳﻪ ﺳﺘﺎره
5 звёзд	panj setāre, ﭘﻨﺞ ﺳﺘﺎره
остановиться (в отеле)	māndan, ﻣﺎﻧﺪن
номер (в гостинице)	otāq, اﺗﺎق
одноместный номер	otāq-e yeknafare, اﺗﺎق ﯾﮏ ﻧﻔﺮه
двухместный номер	otāq-e do nafare, اﺗﺎق دو ﻧﻔﺮه
бронировать номер	otāq rezerv kardan, اﺗﺎق رزرو ﮐﺮدن
полупансион	nim pānsiyon, ﻧﯿﻢ ﭘﺎﻧﺴﯿﻮن
полный пансион	pānsiyon, ﭘﺎﻧﺴﯿﻮن
с ванной	bā vān, ﺑﺎ وان
с душем	bā duš, ﺑﺎ دوش
спутниковое телевидение	televiziyon-e māhvārei, ﺗﻠﻮﯾﺰﯾﻮن ﻣﺎﻫﻮاره ای
кондиционер	tahviye-ye matbuʾ, ﺗﻬﻮﯾﻪ ﻣﻄﺒﻮع
полотенце	howle, ﺣﻮﻟﻪ
ключ	kelid, ﮐﻠﯿﺪ
администратор	edāre-ye konande, اداره ﮐﻨﻨﺪه
горничная	mostaxdem, ﻣﺴﺘﺨﺪم
носильщик	bārbar, ﺑﺎرﺑﺮ
портье	darbān, درﺑﺎن
ресторан	resturān, رﺳﺘﻮران
бар	bār, ﺑﺎر
завтрак	sobhāne, ﺻﺒﺤﺎﻧﻪ
ужин	šām, ﺷﺎم
шведский стол	bufe, ﺑﻮﻓﻪ
вестибюль	lābi, ﻻﺑﯽ
лифт	āsānsor, آﺳﺎﻧﺴﻮر
НЕ БЕСПОКОИТЬ	mozāhem našavid, ﻣﺰاﺣﻢ ﻧﺸﻮﯾﺪ
НЕ КУРИТЬ!	sigār kešidan mamnuʾ, ﺳﯿﮕﺎر ﮐﺸﯿﺪن ﻣﻤﻨﻮع
