Russian	Pronouncing	Farsi
корабль	kešti	ﯽﺘﺸﮐ
судно	kešti	ﯽﺘﺸﮐ
пароход	kešti-ye boxāri	یرﺎﺨﺑ ﯽﺘﺸﮐ
теплоход	qāyeq-e rudxāne	ﻪﻧﺎﺧدور ﻖﯾﺎﻗ
лайнер	kešti-ye tafrihi	ﯽﺤﯾﺮﻔﺗ ﯽﺘﺸﮐ
крейсер	razm nāv	وﺎﻧ مزر
яхта	qāyeq-e tafrihi	ﯽﺤﯾﺮﻔﺗ ﻖﯾﺎﻗ
буксир	yadak keš	ﺶﮐ کﺪﯾ
баржа	kešti-ye bārkeše yadaki	ﯽﮐﺪﯾ ﺶﮐرﺎﺑ ﯽﺘﺸﮐ
паром	kešti-ye farābar	ﺮﺑاﺮﻓ ﯽﺘﺸﮐ
парусник	kešti-ye bādbāni	ﯽﻧﺎﺑدﺎﺑ ﯽﺘﺸﮐ
бригантина	košti dozdān daryā-yi	ﻰﯾﺎﯾرد نادزد ﻰﺘﺸﮐ
ледокол	kešti-ye yaxšekan	ﻦﮑﺷ ﺦﯾ ﯽﺘﺸﮐ
лодка подводная	zirdaryāyi	ﯽﯾﺎﯾردﺮﯾز
лодка	qāyeq	ﻖﯾﺎﻗ
шлюпка	qāyeq-e tafrihi	ﯽﺤﯾﺮﻔﺗ ﻖﯾﺎﻗ
шлюпка спасательная	qāyeq-e nejāt	تﺎﺠﻧ ﻖﯾﺎﻗ
катер	qāyeq-e motori	یرﻮﺗﻮﻣ ﻖﯾﺎﻗ
капитан	kāpitān	نﺎﺘﯿﭘﺎﮐ
матрос	malavān	ناﻮﻠﻣ
моряк	malavān	ناﻮﻠﻣ
экипаж	xadame	ﻪﻣﺪﺧ
боцман	sar malavān	ناﻮﻠﻣ ﺮﺳ
юнга	šāgerd-e malavān	ناﻮﻠﻣ دﺮﮔﺎﺷ
кок	āšpaz-e kešti	ﯽﺘﺸﮐ ﺰﭙﺷآ
судовой врач	pezešk-e kešti	ﯽﺘﺸﮐ ﮏﺷﺰﭘ
палуба	arše-ye kešti	ﯽﺘﺸﮐ ﮥﺷﺮﻋ
мачта	dakal	ﻞﮐد
парус	bādbān	نﺎﺑدﺎﺑ
трюм	anbār	رﺎﺒﻧا
нос (корабля)	sine-ye kešti	ﯽﺘﺸﮐ ﻪﻨﯿﺳ
корма	aqab kešti	ﯽﺘﺸﮐ ﺐﻘﻋ
весло	pāru	ورﺎﭘ
винт	parvāne	ﻪﻧاوﺮﭘ
каюта	otāq-e kešti	ﯽﺘﺸﮐ قﺎﺗا
кают-компания	otāq-e afsarān	ناﺮﺴﻓا قﺎﺗا
машинное отделение	motor xāne	ﻪﻧﺎﺧ رﻮﺗﻮﻣ
капитанский мостик	pol-e farmāndehi	ﯽﻫﺪﻧﺎﻣﺮﻓ ﻞﭘ
радиорубка	kābin-e bisim	ﻢﯿﺳ ﯽﺑ ﻦﯿﺑﺎﮐ
волна (радио)	mowj	جﻮﻣ
судовой журнал	roxdād nāme	ﻪﻣﺎﻧ داﺪﺧر
подзорная труба	teleskop	پﻮﮑﺴﻠﺗ
колокол	nāqus	سﻮﻗﺎﻧ
флаг	parčam	ﻢﭼﺮﭘ
канат	tanāb	بﺎﻨﻃ
узел (завязать ~)	gereh	هﺮﮔ
поручень	narde	هدﺮﻧ
трап	pol	ﻞﭘ
якорь	langar	ﺮﮕﻨﻟ
поднять якорь	langar kešidan	نﺪﯿﺸﮐ ﺮﮕﻨﻟ
бросить якорь	langar andāxtan	ﻦﺘﺧاﺪﻧا ﺮﮕﻨﻟ
якорная цепь	zanjir-e langar	ﺮﮕﻨﻟ ﺮﯿﺠﻧز
порт	bandar	رﺪﻨﺑ
причал	eskele	ﻪﻠﮑﺳا
причаливать	pahlu gereftan	ﻦﺘﻓﺮﮔ ﻮﻠﻬﭘ
отчаливать	tark kardan	ندﺮﮐ کﺮﺗ
путешествие	mosāferat	تﺮﻓﺎﺴﻣ
круиз	safar-e daryāyi	ﯽﯾﺎﯾرد ﺮﻔﺳ
курс	masir	ﺮﯿﺴﻣ
маршрут	masir	ﺮﯿﺴﻣ
фарватер	kešti-ye ru	ور ﯽﺘﺸﮐ
мель	mahall-e kam omq	ﻖﻤﻋ ﻢﮐ ﻞﺤﻣ
сесть на мель	be gel nešastan	ﻦﺘﺴﺸﻧ ﻞﮔ ﻪﺑ
буря	tufān	نﺎﻓﻮﻃ
сигнал	alāmat	ﺖﻣﻼﻋ
тонуть (о корабле)	qarq šodan	نﺪﺷ قﺮﻏ
Человек за бортом!	kas-i dar hāl-e qarq šodan-ast!	!ﺖﺳا نﺪﺷ قﺮﻏ لﺎﺣ رد ﯽﺴﮐ
SOS	sos	SOS
спасательный круг	kamarband-e nejāt	تﺎﺠﻧ ﺪﻨﺑﺮﻤﮐ
