Russian	Pronouncing	Farsi
кухня (помещение)	āšpazxāne	ﻪﻧﺎﺧﺰﭙﺷآ
газ	gāz	زﺎﮔ
плита газовая	ojāgh-e gāz	زﺎﮔ قﺎﺟا
плита электрическая	ojāgh-e barghi	ﯽﻗﺮﺑ قﺎﺟا
духовка	fer	ﺮﻓ
микроволновая печь	māykrofer	ﺮﻓوﺮﮑﯾﺎﻣ
холодильник	yaxčāl	لﺎﭽﺨﯾ
морозильник	fereyzer	رﺰﯾﺮﻓ
посудомоечная машина	māšin-e zarfšuyi	ﯽﯾﻮﺸﻓﺮﻇ ﻦﯿﺷﺎﻣ
мясорубка	čarx-e gušt	ﺖﺷﻮﮔ خﺮﭼ
соковыжималка	ābmive giri	یﺮﯿﮔ هﻮﯿﻤﺑآ
тостер	towster	ﺮﺘﺳﻮﺗ
миксер	maxlut kon	ﻦﮐ طﻮﻠﺨﻣ
кофеварка	qahve sāz	زﺎﺳ هﻮﻬﻗ
кофейник	qahve juš	شﻮﺟ هﻮﻬﻗ
кофемолка	āsiyāb-e qahve	هﻮﻬﻗ بﺎﯿﺳآ
чайник (для кипятка)	ketri	یﺮﺘﮐ
чайник (для заварки)	quri	یرﻮﻗ
крышка (чайника и т.п.)	sarpuš	شﻮﭘﺮﺳ
ситечко (для чая)	čāy sāf kon	ﻦﮐ فﺎﺻ یﺎﭼ
ложка	qāšoq	ﻖﺷﺎﻗ
чайная ложка	qāšoq čāy xori	یرﻮﺧ یﺎﭼ ﻖﺷﺎﻗ
столовая ложка	qāšoq sup xori	یرﻮﺧ پﻮﺳ ﻖﺷﺎﻗ
вилка	čangāl	لﺎﮕﻨﭼ
нож	kārd	درﺎﮐ
посуда	zoruf	فوﺮﻇ
тарелка	bošqāb	بﺎﻘﺸﺑ
блюдце	naʿlbeki	ﯽﮑﺒﻠﻌﻧ
рюмка (стопка)	gilās-e vodkā	ﺎﮐدو سﻼﯿﮔ
стакан	estekān	نﺎﮑﺘﺳا
чашка	fenjān	نﺎﺠﻨﻓ
сахарница	qandān	ناﺪﻨﻗ
солонка	namakdān	ناﺪﮑﻤﻧ
перечница	felfeldān	ناﺪﻠﻔﻠﻓ
маслёнка	zarf-e kare	هﺮﮐ فﺮﻇ
кастрюля	qāblame	ﻪﻤﻠﺑﺎﻗ
сковородка	tābe	ﻪﺑﺎﺗ
половник	malāqe	ﻪﻗﻼﻣ
дуршлаг	ābkeš	ﺶﮑﺑآ
поднос	sini	ﯽﻨﯿﺳ
бутылка	botri	یﺮﻄﺑ
банка (стеклянная)	šiše	ﻪﺸﯿﺷ
банка (жестяная)	quti	ﯽﻃﻮﻗ
открывалка (для бутылок)	dar bāz kon	ﻦﮐزﺎﺑ رد
открывалка (консервный	нож)	dar bāz kon
ﻦﮐزﺎﺑ رد	штопор	dar bāz kon
ﻦﮐزﺎﺑ رد	фильтр	filter
ﺮﺘﻠﯿﻓ	фильтровать	filter kardan
ندﺮﮐ ﺮﺘﻠﯿﻓ	мусор (отходы)	āšqāl
لﺎﻐﺷآ	мусорное ведро	satl-e zobāle
