кухня (помещение)	āšpazxāne, آﺷﭙﺰﺧﺎﻧﻪ
газ	gāz, ﮔﺎز
плита газовая	ojāgh-e gāz, اﺟﺎق ﮔﺎز
плита электрическая	ojāgh-e barghi, اﺟﺎق ﺑﺮﻗﯽ
духовка	fer, ﻓﺮ
микроволновая печь	māykrofer, ﻣﺎﯾﮑﺮوﻓﺮ
холодильник	yaxčāl, ﯾﺨﭽﺎل
морозильник	fereyzer, ﻓﺮﯾﺰر
посудомоечная машина	māšin-e zarfšuyi, ﻣﺎﺷﯿﻦ ﻇﺮﻓﺸﻮﯾﯽ
мясорубка	čarx-e gušt, ﭼﺮخ ﮔﻮﺷﺖ
соковыжималка	ābmive giri, آﺑﻤﯿﻮه ﮔﯿﺮی
тостер	towster, ﺗﻮﺳﺘﺮ
миксер	maxlut kon, ﻣﺨﻠﻮط ﮐﻦ
кофеварка	qahve sāz, ﻗﻬﻮه ﺳﺎز
кофейник	qahve juš, ﻗﻬﻮه ﺟﻮش
кофемолка	āsiyāb-e qahve, آﺳﯿﺎب ﻗﻬﻮه
чайник (для кипятка)	ketri, ﮐﺘﺮی
чайник (для заварки)	quri, ﻗﻮری
крышка (чайника и т.п.)	sarpuš, ﺳﺮﭘﻮش
ситечко (для чая)	čāy sāf kon, ﭼﺎی ﺻﺎف ﮐﻦ
ложка	qāšoq, ﻗﺎﺷﻖ
чайная ложка	qāšoq čāy xori, ﻗﺎﺷﻖ ﭼﺎی ﺧﻮری
столовая ложка	qāšoq sup xori, ﻗﺎﺷﻖ ﺳﻮپ ﺧﻮری
вилка	čangāl, ﭼﻨﮕﺎل
нож	kārd, ﮐﺎرد
посуда	zoruf, ﻇﺮوف
тарелка	bošqāb, ﺑﺸﻘﺎب
блюдце	naʿlbeki, ﻧﻌﻠﺒﮑﯽ
рюмка (стопка)	gilās-e vodkā, ﮔﯿﻼس ودﮐﺎ
стакан	estekān, اﺳﺘﮑﺎن
чашка	fenjān, ﻓﻨﺠﺎن
сахарница	qandān, ﻗﻨﺪان
солонка	namakdān, ﻧﻤﮑﺪان
перечница	felfeldān, ﻓﻠﻔﻠﺪان
маслёнка	zarf-e kare, ﻇﺮف ﮐﺮه
кастрюля	qāblame, ﻗﺎﺑﻠﻤﻪ
сковородка	tābe, ﺗﺎﺑﻪ
половник	malāqe, ﻣﻼﻗﻪ
дуршлаг	ābkeš, آﺑﮑﺶ
поднос	sini, ﺳﯿﻨﯽ
бутылка	botri, ﺑﻄﺮی
банка (стеклянная)	šiše, ﺷﯿﺸﻪ
банка (жестяная)	quti, ﻗﻮﻃﯽ
открывалка (для бутылок)	dar bāz kon, در ﺑﺎزﮐﻦ
открывалка (консервный	нож), nok zāb rad
ﻦﮐزﺎﺑ رد	штопор, nok zāb rad
ﻦﮐزﺎﺑ رد	фильтр, retlif
ﺮﺘﻠﯿﻓ	фильтровать, nadrak retlif
ندﺮﮐ ﺮﺘﻠﯿﻓ	мусор (отходы), lāqšā
لﺎﻐﺷآ	мусорное ведро, elāboz e-ltas
