Russian	Pronouncing	Farsi
цвет	rang	ﮓﻧر
оттенок	teyf-e rang	ﮓﻧر ﻒﯿﻃ
тон	rangmaye	ﻪﯾﺎﻤﮕﻧر
радуга	rangin kamān	نﺎﻤﮐ ﻦﯿﮕﻧر
белый	sefid	ﺪﯿﻔﺳ
чёрный	siyāh	هﺎﯿﺳ
серый	xākestari	یﺮﺘﺴﮐﺎﺧ
зелёный	sabz	ﺰﺒﺳ
жёлтый	zard	درز
красный	sorx	خﺮﺳ
синий	abi	ﯽﺑآ
голубой	ābi rowšan	ﻦﺷور ﯽﺑآ
розовый	surati	ﯽﺗرﻮﺻ
оранжевый	nārenji	ﯽﺠﻧرﺎﻧ
фиолетовый	banafš	ﺶﻔﻨﺑ
коричневый	qahve i	یا هﻮﻬﻗ
золотой	talāyi	ﯽﯾﻼﻃ
серебристый	noqre i	یا هﺮﻘﻧ
бежевый	baž	ﮋﺑ
кремовый	kerem	مﺮﮐ
бирюзовый	firuze i	یا هزوﺮﯿﻓ
вишнёвый	ālbāluyi	ﯽﯾﻮﻟﺎﺒﻟآ
лиловый	banafš yasi	ﯽﺳﺎﯾ ﺶﻔﻨﺑ
малиновый	zereški	ﯽﮑﺷرز
светлый	rowšan	ﻦﺷور
тёмный	tire	هﺮﯿﺗ
яркий	rowšan	ﻦﺷور
цветной (карандаш)	rangi	ﯽﮕﻧر
цветной (фильм)	rangi	ﯽﮕﻧر
чёрно-белый	siyāh-o sefid	ﺪﯿﻔﺳ و هﺎﯿﺳ
одноцветный	yek rang	ﮓﻧر ﮏﯾ
разноцветный	rangārang	ﮓﻧرﺎﮕﻧر
