Russian	Pronouncing	Farsi
вода	āb	بآ
питьевая вода	āb-e āšāmidani	ﯽﻧﺪﯿﻣﺎﺷآ بآ
минеральная вода	āb-e maʿdani	ﯽﻧﺪﻌﻣ بآ
без газа	bedun-e gāz	زﺎﮔ نوﺪﺑ
газированный	gāzdār	رادزﺎﮔ
с газом	gāzdār	رادزﺎﮔ
лёд	yax	ﺦﯾ
со льдом	yax dār	راد ﺦﯾ
безалкогольный	bi alkol	ﻞﮑﻟا ﯽﺑ
безалкогольный напиток	nušābe-ye bi alkol	ﻞﮑﻟا ﯽﺑ ﮥﺑﺎﺷﻮﻧ
прохладительный напиток	nušābe-ye xonak	ﮏﻨﺧ ﮥﺑﺎﺷﻮﻧ
лимонад	limunād	دﺎﻧﻮﻤﯿﻟ
алкогольные напитки	mašrubāt-e alkoli	ﯽﻠﮑﻟا تﺎﺑوﺮﺸﻣ
вино	šarāb	باﺮﺷ
белое вино	šarāb-e sefid	ﺪﯿﻔﺳ باﺮﺷ
красное вино	šarāb-e sorx	خﺮﺳ باﺮﺷ
ликёр	likor	رﻮﮑﯿﻟ
шампанское	šāmpāyn	ﻦﯾﺎﭙﻣﺎﺷ
вермут	vermut	تﻮﻣرو
виски	viski	ﻰﮑﺴﯾو
водка	vodkā	ﺎﮐدو
джин	jin	ﻦﯿﺟ
коньяк	konyāk	کﺎﯿﻨﮐ
ром	araq-e neyšekar	ﺮﮑﺸﯿﻧ قﺮﻋ
кофе	qahve	هﻮﻬﻗ
чёрный кофе	qahve-ye talx	ﺦﻠﺗ ۀﻮﻬﻗ
кофе с молоком	šir-qahve	هﻮﻬﻗﺮﯿﺷ
капучино	kāpočino	ﻮﻨﯿﭼﻮﭘﺎﮐ
растворимый кофе	qahve-ye fowri	یرﻮﻓ هﻮﻬﻗ
молоко	šir	ﺮﯿﺷ
коктейль	kuktel	ﻞﺘﮐﻮﮐ
молочный коктейль	kuktele šir	ﺮﯿﺷ ﻞﺘﮐﻮﮐ
сок	āb-e mive	هﻮﯿﻣ بآ
томатный сок	āb-e gowjefarangi	ﯽﮕﻧﺮﻓ ﻪﺟﻮﮔ بآ
апельсиновый сок	āb-e porteqāl	لﺎﻘﺗﺮﭘ بآ
свежевыжатый сок	āb-e mive-ye taze	هزﺎﺗ ۀﻮﯿﻣ بآ
пиво	ābejow	ﻮﺠﺑآ
светлое пиво	ābejow-ye sabok	ﮏﺒﺳ یﻮﺠﺑآ
тёмное пиво	ābejow-ye tire	هﺮﯿﺗ یﻮﺠﺑآ
чай	čāy	یﺎﭼ
чёрный чай	čāy-e siyāh	هﺎﯿﺳ یﺎﭼ
зелёный чай	čāy-e sabz	ﺰﺒﺳ یﺎﭼ
