Russian	Pronouncing	Farsi
космос	fazā	ﻓﻀﺎ
космический	fazāyi	ﻓﻀﺎﯾﯽ
космическое пространство	fazā-ye keyhān	ﻓﻀﺎی ﮐﯿﻬﺎن
мир	jahān	ﺟﻬﺎن
вселенная	giti	ﮔﯿﺘﯽ
галактика	kahkešān	ﮐﻬﮑﺸﺎن
звезда	setāre	ﺳﺘﺎره
созвездие	surat-e falaki	ﺻﻮرت ﻓﻠﮑﯽ
планета	sayyāre	ﺳﯿﺎره
спутник	māhvāre	ﻣﺎﻫﻮاره
метеорит	sang-e āsmāni	ﺳﻨﮓ آﺳﻤﺎﻧﯽ
комета	setāre-ye donbāle dār	ﺳﺘﺎرۀ دﻧﺒﺎﻟﻪ دار
астероид	šahāb	ﺷﻬﺎب
орбита	madār	ﻣﺪار
вращаться	gardidan	ﮔﺮدﯾﺪن
атмосфера	jav	ﺟﻮ
Солнце	āftāb	آﻓﺘﺎب
солнечная система	manzume-ye šamsi	ﻣﻨﻈﻮﻣﻪ ﺷﻤﺴﯽ
солнечное затмение	kosuf	ﮐﺴﻮف
Земля	zamin	زﻣﯿﻦ
Луна	māh	ﻣﺎه
Марс	merrix	ﻣﺮﯾﺦ
Венера	zahre	زﻫﺮه
Юпитер	moštari	ﻣﺸﺘﺮی
Сатурн	zohal	زﺣﻞ
Меркурий	atārod	ﻋﻄﺎرد
Уран	orānus	اوراﻧﻮس
Нептун	nepton	ﻧﭙﺘﻮن
Плутон	poloton	ﭘﻠﻮﺗﻮن
Млечный Путь	kahkešān rāh-e širi	ﮐﻬﮑﺸﺎن راه ﺷﯿﺮی
Большая Медведица	dobb-e akbar	دب اﮐﺒﺮ
Полярная Звезда	setāre-ye qotbi	ﺳﺘﺎره ﻗﻄﺒﯽ
марсианин	merrixi	ﻣﺮﯾﺨﯽ
инопланетянин	farā zamini	ﻓﺮا زﻣﯿﻨﯽ
пришелец	mowjud fazāyi	ﻣﻮﺟﻮد ﻓﻀﺎﯾﯽ
летающая тарелка	bošqāb-e parande	ﺑﺸﻘﺎب ﭘﺮﻧﺪه
космический корабль	fazā peymā	ﻓﻀﺎ ﭘﯿﻤﺎ
орбитальная станция	istgāh-e fazāyi	اﯾﺴﺘﮕﺎه ﻓﻀﺎﯾﯽ
старт (ракеты)	rāh andāzi	راه اﻧﺪازی
двигатель	motor	ﻣﻮﺗﻮر
сопло	nāzel	ﻧﺎزل
топливо	suxt	ﺳﻮﺧﺖ
кабина	kābin	ﮐﺎﺑﯿﻦ
антенна	ānten	آﻧﺘﻦ
иллюминатор	panjere	ﭘﻨﺠﺮه
солнечная батарея	bātri-ye xoršidi	ﺑﺎﻃﺮی ﺧﻮرﺷﯿﺪی
скафандр	lebās-e fazānavardi	ﻟﺒﺎس ﻓﻀﺎﻧﻮردی
невесомость	bi vazni	ﺑﯽ وزﻧﯽ
кислород	oksižen	اﮐﺴﯿﮋن
стыковка	vasl	وﺻﻞ
производить стыковку	vasl kardan	وﺻﻞ ﮐﺮدن
обсерватория	rasadxāne	رﺻﺪﺧﺎﻧﻪ
телескоп	teleskop	ﺗﻠﺴﮑﻮپ
наблюдать	mošāhede kardan	ﻣﺸﺎﻫﺪه ﮐﺮدن
исследовать	kašf kardan	ﮐﺸﻒ ﮐﺮدن
