почта (учреждение)	post, ﭘﺴﺖ
почта (письма и т.п.)	post, ﭘﺴﺖ
почтальон	nāme resān, ﻧﺎﻣﻪ رﺳﺎن
часы работы	sāʿathā-ye kāri, ﺳﺎﻋﺖ ﻫﺎی ﮐﺎری
письмо	nāme, ﻧﺎﻣﻪ
заказное письмо	nāme-ye sefāreši, ﻧﺎﻣﻪ ﺳﻔﺎرﺷﯽ
открытка	kārt-e postāl, ﮐﺎرت ﭘﺴﺘﺎل
телеграмма	telegrām, ﺗﻠﮕﺮام
посылка	baste posti, ﺑﺴﺘﻪ ﭘﺴﺘﯽ
денежный перевод	havāle, ﺣﻮاﻟﻪ
получить	gereftan, ﮔﺮﻓﺘﻦ
отправить	ferestādan, ﻓﺮﺳﺘﺎدن
отправка (письма)	ersāl, ارﺳﺎل
адрес	nešāni, ﻧﺸﺎﻧﯽ
индекс	kod-e posti, ﮐﺪ ﭘﺴﺘﯽ
отправитель	ferestande, ﻓﺮﺳﺘﻨﺪه
получатель	girande, ﮔﯿﺮﻧﺪه
имя	esm, اﺳﻢ
фамилия	nām-e xānevādegi, ﻧﺎم ﺧﺎﻧﻮادﮔﯽ
тариф	taʿrefe, ﺗﻌﺮﻓﻪ
обычный	ādi, ﻋﺎدی
экономичный	ādi, ﻋﺎدی
вес	vazn, وزن
взвешивать	vazn kardan, وزن ﮐﺮدن
конверт	pākat, ﭘﺎﮐﺖ
марка	tambr, ﺗﻤﺒﺮ
наклеивать марку	tamr zadan, ﺗﻤﺒﺮ زدن
