Russian	Pronouncing	Farsi
ванная комната	hammām	مﺎﻤﺣ
вода	āb	بآ
кран	šir	ﺮﯿﺷ
горячая вода	āb-e dāq	غاد بآ
холодная вода	āb-e sard	دﺮﺳ بآ
зубная паста	xamir-e dandān	ناﺪﻧد ﺮﯿﻤﺧ
чистить зубы	mesvāk zadan	ندز کاﻮﺴﻣ
зубная щётка	mesvāk	کاﻮﺴﻣ
бриться	riš tarāšidan	نﺪﯿﺷاﺮﺗ ﺶﯾر
пена для бритья	xamir-e eslāh	حﻼﺻا ﺮﯿﻤﺧ
бритва	tiq	ﻎﯿﺗ
мыть	šostan	ﻦﺘﺴﺷ
мыться	hamām kardan	ندﺮﮐ مﺎﻤﺣ
душ	duš	شود
принимать душ	duš gereftan	ﻦﺘﻓﺮﮔ شود
ванна	vān hammām	مﺎﻤﺣ ناو
унитаз	tuālet-e farangi	ﯽﮕﻧﺮﻓ ﺖﻟاﻮﺗ
раковина	sink	ﮏﻨﯿﺳ
мыло	sābun	نﻮﺑﺎﺻ
мыльница	jā sābun	نﻮﺑﺎﺻ ﺎﺟ
губка	abr	ﺮﺑا
шампунь	šāmpu	ﻮﭙﻣﺎﺷ
полотенце	howle	ﻪﻟﻮﺣ
халат (махровый)	howle-ye hamām	مﺎﻤﺣ ﻪﻟﻮﺣ
стирка	raxčuyi	ﯽﯾﻮﺸﺳﺎﺒﻟ
стиральная машина	māšin-e lebas-šui	ﯽﯾﻮﺸﺳﺎﺒﻟ ﻦﯿﺷﺎﻣ
стирать бельё	šostan-e lebās	سﺎﺒﻟ ﻦﺘﺴﺷ
стиральный порошок	pudr-e lebas-šui	ﯽﯾﻮﺸﺳﺎﺒﻟ ردﻮﭘ
