Russian	Pronouncing	Farsi
вывеска	tāblo	ﻮﻠﺑﺎﺗ
надпись	nevešte	ﻪﺘﺷﻮﻧ
плакат, постер	poster	ﺮﺘﺳﻮﭘ
указатель	rāhnamā	ﺎﻤﻨﻫار
стрелка (указатель)	alāmat	ﺖﻣﻼﻋ
предостережение	ehtiyāt	طﺎﯿﺘﺣا
предупреждение	alāmat-e hošdār	راﺪﺸﻫ ﺖﻣﻼﻋ
предупредить	hošdār dādan	نداد راﺪﺸﻫ
выходной день	ruz-e taʿtil	ﻞﯿﻄﻌﺗ زور
расписание	jadval	لوﺪﺟ
часы работы	sāʿathā-ye kāri	یرﺎﮐ یﺎﻫ ﺖﻋﺎﺳ
ДОБРО ПОЖАЛОВАТЬ!	xoš āmadid	ﺪﯾﺪﻣآ شﻮﺧ
ВХОД	vorud	دورو
ВЫХОД	xoruj	جوﺮﺧ
ОТ СЕБЯ	hel dādan	نداد ﻞﻫ
НА СЕБЯ	bekešid	ﺪﯿﺸﮑﺑ
ОТКРЫТО	bāz	زﺎﺑ
ЗАКРЫТО	baste	ﻪﺘﺴﺑ
ДЛЯ ЖЕНЩИН	zanāne	ﻪﻧﺎﻧز
ДЛЯ МУЖЧИН	mardāne	ﻪﻧادﺮﻣ
СКИДКИ	taxfif	ﻒﯿﻔﺨﺗ
РАСПРОДАЖА	harāj	جاﺮﺣ
НОВИНКА!	jadid	ﺪﯾﺪﺟ
БЕСПЛАТНО	majjāni	ﯽﻧﺎﺠﻣ
ВНИМАНИЕ!	tavajjoh	ﻪﺟﻮﺗ
МЕСТ НЕТ	otāq-e xāli nadārim	ﻢﯾراﺪﻧ ﯽﻟﺎﺧ قﺎﺗا
ЗАРЕЗЕРВИРОВАНО	rezerv šode	هﺪﺷ ورزر
АДМИНИСТРАЦИЯ	edāre	هرادا
ТОЛЬКО ДЛЯ ПЕРСОНАЛА	xāse personel	ﻞﻨﺳﺮﭘ صﺎﺧ
ЗЛАЯ СОБАКА	movāzeb-e sag bāšid	ﺪﯿﺷﺎﺑ ﮓﺳ ﺐﻇاﻮﻣ
НЕ КУРИТЬ!	sigār kešidan mamnuʾ	عﻮﻨﻤﻣ نﺪﯿﺸﮐ رﺎﮕﯿﺳ
РУКАМИ НЕ ТРОГАТЬ!	dast nazanid	ﺪﯿﻧﺰﻧ ﺖﺳد
ОПАСНО	xatarnāk	کﺎﻧﺮﻄﺧ
ОПАСНОСТЬ	xatar	ﺮﻄﺧ
ВЫСОКОЕ НАПРЯЖЕНИЕ	voltāj bālā	ﻻﺎﺑ ژﺎﺘﻟو
КУПАТЬСЯ ЗАПРЕЩЕНО	šenā mamnuʿ	عﻮﻨﻤﻣ ﺎﻨﺷ
НЕ РАБОТАЕТ	xārāb	باﺮﺧ
ОГНЕОПАСНО	qābel-e ehterāq	قاﺮﺘﺣا ﻞﺑﺎﻗ
ЗАПРЕЩЕНО	mamnuʿ	عﻮﻨﻤﻣ
ПРОХОД ЗАПРЕЩЁН	obur mamnuʿ	عﻮﻨﻤﻣ رﻮﺒﻋ
ОКРАШЕНО	rang-e xis	ﺲﯿﺧ ﮓﻧر
