ванная комната	hammām, ﺣﻤﺎم
вода	āb, آب
кран	šir, ﺷﯿﺮ
горячая вода	āb-e dāq, آب داغ
холодная вода	āb-e sard, آب ﺳﺮد
зубная паста	xamir-e dandān, ﺧﻤﯿﺮ دﻧﺪان
чистить зубы	mesvāk zadan, ﻣﺴﻮاک زدن
зубная щётка	mesvāk, ﻣﺴﻮاک
бриться	riš tarāšidan, رﯾﺶ ﺗﺮاﺷﯿﺪن
пена для бритья	xamir-e eslāh, ﺧﻤﯿﺮ اﺻﻼح
бритва	tiq, ﺗﯿﻎ
мыть	šostan, ﺷﺴﺘﻦ
мыться	hamām kardan, ﺣﻤﺎم ﮐﺮدن
душ	duš, دوش
принимать душ	duš gereftan, دوش ﮔﺮﻓﺘﻦ
ванна	vān hammām, وان ﺣﻤﺎم
унитаз	tuālet-e farangi, ﺗﻮاﻟﺖ ﻓﺮﻧﮕﯽ
раковина	sink, ﺳﯿﻨﮏ
мыло	sābun, ﺻﺎﺑﻮن
мыльница	jā sābun, ﺟﺎ ﺻﺎﺑﻮن
губка	abr, اﺑﺮ
шампунь	šāmpu, ﺷﺎﻣﭙﻮ
полотенце	howle, ﺣﻮﻟﻪ
халат (махровый)	howle-ye hamām, ﺣﻮﻟﻪ ﺣﻤﺎم
стирка	raxčuyi, ﻟﺒﺎﺳﺸﻮﯾﯽ
стиральная машина	māšin-e lebas-šui, ﻣﺎﺷﯿﻦ ﻟﺒﺎﺳﺸﻮﯾﯽ
стирать бельё	šostan-e lebās, ﺷﺴﺘﻦ ﻟﺒﺎس
стиральный порошок	pudr-e lebas-šui, ﭘﻮدر ﻟﺒﺎﺳﺸﻮﯾﯽ
