Russian	Pronouncing	Farsi
аэропорт	forudgāh	هﺎﮔدوﺮﻓ
самолёт	havāpeymā	ﺎﻤﯿﭘاﻮﻫ
авиакомпания	šerkat-e havāpeymāyi	ﯽﯾﺎﻤﯿﭘاﻮﻫ ﺖﮐﺮﺷ
авиадиспетчер	maʿmur-e kontorol-e terāfik-e	havāyi
ﯽﯾاﻮﻫ ﮏﯿﻓاﺮﺗ لﺮﺘﻨﮐ رﻮﻣﺄﻣ	вылет	azimat
ﺖﻤﯾﺰﻋ	прилёт	vorud
دورو	прилететь	residan
نﺪﯿﺳر	время вылета	zamān-e parvāz
زاوﺮﭘ نﺎﻣز	время прилёта	zamān-e vorud
دورو نﺎﻣز	задерживаться (о рейсе)	taʾxir kardan
ندﺮﮐ ﺮﯿﺧﺄﺗ	задержка вылета	taʿxir-e parvāz
زاوﺮﭘ ﺮﯿﺧﺄﺗ	информационное табло	tāblo-ye ettelāʿāt
تﺎﻋﻼﻃا یﻮﻠﺑﺎﺗ	информация	ettelāʿāt
تﺎﻋﻼﻃا	объявлять	eʿlām kardan
ندﺮﮐ مﻼﻋا	рейс	parvāz
زاوﺮﭘ	таможня	gomrok
کﺮﻤﮔ	таможенник	maʿmur-e gomrok
کﺮﻤﮔ رﻮﻣﺄﻣ	таможенная декларация	ežhār-nāme
ﻪﻣﺎﻧرﺎﻬﻇا	заполнить (декларацию)	por kardan
ندﺮﮐ ﺮﭘ	заполнить декларацию	ezhār-nāme rā por kardan
ندﺮﮐ ﺮﭘ ار ﻪﻣﺎﻧرﺎﻬﻇا	паспортный контроль	kontorol-e gozarnāme
ﻪﻣﺎﻧرﺬﮔ لﺮﺘﻨﮐ	багаж	bār
رﺎﺑ	ручная кладь	bār-e dasti
ﯽﺘﺳد رﺎﺑ	тележка (для багажа)	čarx-e hamle bar
رﺎﺑ ﻞﻤﺣ خﺮﭼ	посадка	forud
دوﺮﻓ	посадочная полоса	bānd-e forudgāh
هﺎﮔدوﺮﻓ ﺪﻧﺎﺑ	садиться (о самолёте)	nešastan
ﻦﺘﺴﺸﻧ	трап (к самолету)	pellekān
نﺎﮑﻠﭘ	регистрация	ček in
ﻦﯾا ﮏﭼ	стойка регистрации	bāje-ye kontorol
لﺮﺘﻨﮐ ﻪﺟﺎﺑ	зарегистрироваться	čekin kardan
ندﺮﮐ ﻦﯾﺎﮑﭼ	посадочный талон	kārt-e parvāz
زاوﺮﭘ ترﺎﮐ	выход (на посадку)	gi-yat xoruj
جوﺮﺧ ﺖﯿﮔ	транзит	terānzit
ﺖﯾﺰﻧاﺮﺗ	ждать	montazer budan
ندﻮﺑ ﺮﻈﺘﻨﻣ	зал ожидания	tālār-e entezār
رﺎﻈﺘﻧا رﻻﺎﺗ	провожать	badraqe kardan
ندﺮﮐ ﻪﻗرﺪﺑ	прощаться	xodāhāfezi kardan
