Russian	Pronouncing	Farsi
кошка	gorbe	ﻪﺑﺮﮔ
кот	gorbe-ye nar	ﺮﻧ ﮥﺑﺮﮔ
собака, пёс	sag	ﮓﺳ
лошадь	asb	ﺐﺳا
жеребец	asb-e nar	ﺮﻧ ﺐﺳا
кобыла	mādiyān	نﺎﯾدﺎﻣ
корова	gāv	وﺎﮔ
бык	gāv-e nar	ﺮﻧ وﺎﮔ
вол	gāv-e axte	ﻪﺘﺧا وﺎﮔ
овца	gusfand	ﺪﻨﻔﺳﻮﮔ
баран	gusfand-e nar	ﺮﻧ ﺪﻨﻔﺳﻮﮔ
коза	boz-e mādde	هدﺎﻣ ﺰﺑ
козёл	boz-e nar	ﺮﻧ ﺰﺑ
осёл	xar	ﺮﺧ
мул	qāter	ﺮﻃﺎﻗ
свинья	xuk	کﻮﺧ
поросёнок	bače-ye xuk	کﻮﺧ ﮥﭽﺑ
кролик	xarguš	شﻮﮔﺮﺧ
курица	morq	غﺮﻣ
петух	xorus	سوﺮﺧ
утка	ordak	کدرا
селезень	ordak-e nar	ﺮﻧ کدرا
гусь	qāz	زﺎﻏ
индюк	buqalamun-e nar	ﺮﻧ نﻮﻤﻠﻗﻮﺑ
индюшка	buqalamun-e māde	هدﺎﻣ نﻮﻤﻠﻗﻮﺑ
домашние животные	heyvānāt-e ahli	ﯽﻠﻫا تﺎﻧاﻮﯿﺣ
ручной (о животных)	ahli	ﯽﻠﻫا
приручать	rām kardan	ندﺮﮐ مار
выращивать	parvareš dādan	نداد شروﺮﭘ
ферма	mazrae	ﻪﻋرﺰﻣ
домашняя птица	morq-e xānegi	ﯽﮕﻧﺎﺧ غﺮﻣ
скот	dām	ماد
стадо	galle	ﻪﻠﮔ
конюшня	establ	ﻞﺒﻄﺻا
свинарник	āqol xuk	کﻮﺧ ﻞﻏآ
коровник	āqol gāv	وﺎﮔ ﻞﻏآ
крольчатник	lanye xarguš	شﻮﮔﺮﺧ ﻪﻧﻻ
курятник	morq dāni	ﯽﻧاد غﺮﻣ
