Russian	Pronouncing	Farsi
гостиница	hotel	ﻞﺘﻫ
мотель	motel	ﻞﺘﻣ
3 звезды	se setāre	هرﺎﺘﺳ ﻪﺳ
5 звёзд	panj setāre	هرﺎﺘﺳ ﺞﻨﭘ
остановиться (в отеле)	māndan	نﺪﻧﺎﻣ
номер (в гостинице)	otāq	قﺎﺗا
одноместный номер	otāq-e yeknafare	هﺮﻔﻧ ﮏﯾ قﺎﺗا
двухместный номер	otāq-e do nafare	هﺮﻔﻧ ود قﺎﺗا
бронировать номер	otāq rezerv kardan	ندﺮﮐ ورزر قﺎﺗا
полупансион	nim pānsiyon	نﻮﯿﺴﻧﺎﭘ ﻢﯿﻧ
полный пансион	pānsiyon	نﻮﯿﺴﻧﺎﭘ
с ванной	bā vān	ناو ﺎﺑ
с душем	bā duš	شود ﺎﺑ
спутниковое телевидение	televiziyon-e māhvārei	یا هراﻮﻫﺎﻣ نﻮﯾﺰﯾﻮﻠﺗ
кондиционер	tahviye-ye matbuʾ	عﻮﺒﻄﻣ ﻪﯾﻮﻬﺗ
полотенце	howle	ﻪﻟﻮﺣ
ключ	kelid	ﺪﯿﻠﮐ
администратор	edāre-ye konande	هﺪﻨﻨﮐ هرادا
горничная	mostaxdem	مﺪﺨﺘﺴﻣ
носильщик	bārbar	ﺮﺑرﺎﺑ
портье	darbān	نﺎﺑرد
ресторан	resturān	نارﻮﺘﺳر
бар	bār	رﺎﺑ
завтрак	sobhāne	ﻪﻧﺎﺤﺒﺻ
ужин	šām	مﺎﺷ
шведский стол	bufe	ﻪﻓﻮﺑ
вестибюль	lābi	ﯽﺑﻻ
лифт	āsānsor	رﻮﺴﻧﺎﺳآ
НЕ БЕСПОКОИТЬ	mozāhem našavid	ﺪﯾﻮﺸﻧ ﻢﺣاﺰﻣ
НЕ КУРИТЬ!	sigār kešidan mamnuʾ	عﻮﻨﻤﻣ نﺪﯿﺸﮐ رﺎﮕﯿﺳ
