рубашка	pirāhan, ﭘﯿﺮاﻫﻦ
брюки	šalvār, ﺷﻠﻮار
джинсы	jin, ﺟﯿﻦ
пиджак	kot, ﮐﺖ
костюм (мужской)	kat-o šalvār, ﮐﺖ و ﺷﻠﻮار
платье	lebās, ﻟﺒﺎس
юбка	dāman, داﻣﻦ
блузка	boluz, ﺑﻠﻮز
кофта (шерстяная)	jeliqe-ye kešbāf, ﺟﻠﯿﻘﻪ ﮐﺸﺒﺎف
жакет	kot, ﮐﺖ
футболка	tey šarr-at, ﺗﯽ ﺷﺮت
шорты	šalvarak, ﺷﻠﻮارک
спортивный костюм	lebās-e varzeši, ﻟﺒﺎس ورزﺷﯽ
халат (махровый)	howle-ye hamām, ﺣﻮﻟﻪ ﺣﻤﺎم
пижама	pižāme, ﭘﯿﮋاﻣﻪ
свитер	poliver, ﭘﻠﯿﻮر
пуловер	poliver, ﭘﻠﯿﻮر
жилет	jeliqe, ﺟﻠﯿﻘﻪ
фрак	kat-e dāman gerd, ﮐﺖ داﻣﻦ ﮔﺮد
смокинг	esmoking, اﺳﻤﻮﮐﯿﻨﮓ
форма (униформа)	oniform, اوﻧﯿﻔﻮرم
рабочая одежда	lebās-e kār, ﻟﺒﺎس ﮐﺎر
комбинезон	rupuš, روﭘﻮش
халат (врача)	rupuš, روﭘﻮش
