природные ресурсы	manābe-ʿe tabii, ﻣﻨﺎﺑﻊ ﻃﺒﯿﻌﯽ
полезные ископаемые	mavādd-e maʿdani, ﻣﻮاد ﻣﻌﺪﻧﯽ
залежи	tah nešast, ﺗﻪ ﻧﺸﺴﺖ
месторождение	meydān, ﻣﯿﺪان
добывать (руду)	estexrāj kardan, اﺳﺘﺨﺮاج ﮐﺮدن
добыча	estexrāj, اﺳﺘﺨﺮاج
руда	sang-e maʿdani, ﺳﻨﮓ ﻣﻌﺪﻧﯽ
рудник, шахта	maʿdan, ﻣﻌﺪن
шахта (скважина)	maʿdan, ﻣﻌﺪن
шахтёр	maʿdanči, ﻣﻌﺪﻧﭽﯽ
газ	gāz, ﮔﺎز
газопровод	lule-ye gāz, ﻟﻮﻟﮥ ﮔﺎز
нефть	naft, ﻧﻔﺖ
нефтепровод	lule-ye naft, ﻟﻮﻟﮥ ﻧﻔﺖ
нефтяная скважина	čāh-e naft, ﭼﺎه ﻧﻔﺖ
нефтяная вышка	dakal-e haffāri, دﮐﻞ ﺣﻔﺎری
танкер	tānker, ﺗﺎﻧﮑﺮ
песок	šen, ﺷﻦ
известняк	sang-e āhak, ﺳﻨﮓ آﻫﮏ
гравий	sangrize, ﺳﻨﮕﺮﯾﺰه
торф	turb, ﺗﻮرب
глина	xāk-e ros, ﺧﺎک رس
уголь	zoqāl sang, زﻏﺎل ﺳﻨﮓ
железо	āhan, آﻫﻦ
золото	talā, ﻃﻼ
серебро	noqre, ﻧﻘﺮه
никель	nikel, ﻧﯿﮑﻞ
медь	mes, ﻣﺲ
цинк	ruy, روی
марганец	mangenez, ﻣﻨﮕﻨﺰ
ртуть	jive, ﺟﯿﻮه
свинец	sorb, ﺳﺮب
минерал	mādde-ye maʿdani, ﻣﺎدۀ ﻣﻌﺪﻧﯽ
кристалл	bolur, ﺑﻠﻮر
мрамор	marmar, ﻣﺮﻣﺮ
уран	orāniyom, اوراﻧﯿﻮم
