Russian	Pronouncing	Farsi
Земля	zamin	زﻣﯿﻦ
земной шар	kare-ye zamin	ﮐﺮۀ زﻣﯿﻦ
планета	sayyāre	ﺳﯿﺎره
атмосфера	jav	ﺟﻮ
география	joqrāfiyā	ﺟﻐﺮاﻓﯿﺎ
природа	tabiʿat	ﻃﺒﯿﻌﺖ
глобус	kare-ye joqrāfiyāyi	ﮐﺮۀ ﺟﻐﺮاﻓﯿﺎﯾﯽ
карта	naqše	ﻧﻘﺸﻪ
атлас	atlas	اﻃﻠﺲ
Европа	orupā	اروﭘﺎ
Азия	āsiyā	آﺳﯿﺎ
Африка	āfriqā	آﻓﺮﯾﻘﺎ
Австралия	ostorāliyā	اﺳﺘﺮاﻟﯿﺎ
Америка	emrikā	اﻣﺮﯾﮑﺎ
Северная Америка	emrikā-ye šomāli	اﻣﺮﯾﮑﺎی ﺷﻤﺎﻟﯽ
Южная Америка	emrikā-ye jonubi	اﻣﺮﯾﮑﺎی ﺟﻨﻮﺑﯽ
Антарктида	qotb-e jonub	ﻗﻄﺐ ﺟﻨﻮب
Арктика	qotb-e šomāl	ﻗﻄﺐ ﺷﻤﺎل
