самолёт	havāpeymā, ﻫﻮاﭘﯿﻤﺎ
авиабилет	belit-e havāpeymā, ﺑﻠﯿﻂ ﻫﻮاﭘﯿﻤﺎ
авиакомпания	šerkat-e havāpeymāyi, ﺷﺮﮐﺖ ﻫﻮاﭘﯿﻤﺎﯾﯽ
аэропорт	forudgāh, ﻓﺮودﮔﺎه
сверхзвуковой	māvarā sowt, ﻣﺎوراء ﺻﻮت
командир корабля	kāpitān, ﮐﺎﭘﯿﺘﺎن
экипаж	xadame, ﺧﺪﻣﻪ
пилот	xalabān, ﺧﻠﺒﺎن
стюардесса	mehmāndār-e havāpeymā, ﻣﻬﻤﺎﻧﺪار ﻫﻮاﭘﯿﻤﺎ
штурман	nāvbar, ﻧﺎوﺑﺮ
крылья	bāl-hā, ﺑﺎل ﻫﺎ
хвост	dam, دم
кабина	kābin, ﮐﺎﺑﯿﻦ
двигатель	motor, ﻣﻮﺗﻮر
шасси	šāssi, ﺷﺎﺳﯽ
турбина	turbin, ﺗﻮرﺑﯿﻦ
пропеллер	parvāne, ﭘﺮواﻧﻪ
чёрный ящик	jaʿbe-ye siyāh, ﺟﻌﺒﻪ ﺳﯿﺎه
штурвал	farmān, ﻓﺮﻣﺎن
горючее	suxt, ﺳﻮﺧﺖ
инструкция по безопасности	dasturolʿamal, دﺳﺘﻮراﻟﻌﻤﻞ
кислородная маска	māsk-e oksižen, ﻣﺎﺳﮏ اﮐﺴﯿﮋن
униформа	oniform, اوﻧﯿﻔﻮرم
спасательный жилет	jeliqe-ye nejāt, ﺟﻠﯿﻘﮥ ﻧﺠﺎت
парашют	čatr-e nejāt, ﭼﺘﺮﻧﺠﺎت
взлёт	parvāz, ﭘﺮواز
взлетать	parvāz kardan, ﭘﺮواز ﮐﺮدن
взлётная полоса	bānd-e forudgāh, ﺑﺎﻧﺪ ﻓﺮودﮔﺎه
видимость	meydān did, ﻣﯿﺪان دﯾﺪ
полёт	parvāz, ﭘﺮواز
высота	ertefāʿ, ارﺗﻔﺎع
воздушная яма	čāle-ye havāyi, ﭼﺎﻟﻪ ﻫﻮاﯾﯽ
место	jā, ﺟﺎ
наушники	guši, ﮔﻮﺷﯽ
откидной столик	sini-ye tāšow, ﺳﯿﻨﯽ ﺗﺎﺷﻮ
иллюминатор	panjere, ﭘﻨﺠﺮه
проход (между креслами)	rāhrow, راﻫﺮو
