вода	āb, آب
питьевая вода	āb-e āšāmidani, آب آﺷﺎﻣﯿﺪﻧﯽ
минеральная вода	āb-e maʿdani, آب ﻣﻌﺪﻧﯽ
без газа	bedun-e gāz, ﺑﺪون ﮔﺎز
газированный	gāzdār, ﮔﺎزدار
с газом	gāzdār, ﮔﺎزدار
лёд	yax, ﯾﺦ
со льдом	yax dār, ﯾﺦ دار
безалкогольный	bi alkol, ﺑﯽ اﻟﮑﻞ
безалкогольный напиток	nušābe-ye bi alkol, ﻧﻮﺷﺎﺑﮥ ﺑﯽ اﻟﮑﻞ
прохладительный напиток	nušābe-ye xonak, ﻧﻮﺷﺎﺑﮥ ﺧﻨﮏ
лимонад	limunād, ﻟﯿﻤﻮﻧﺎد
алкогольные напитки	mašrubāt-e alkoli, ﻣﺸﺮوﺑﺎت اﻟﮑﻠﯽ
вино	šarāb, ﺷﺮاب
белое вино	šarāb-e sefid, ﺷﺮاب ﺳﻔﯿﺪ
красное вино	šarāb-e sorx, ﺷﺮاب ﺳﺮخ
ликёр	likor, ﻟﯿﮑﻮر
шампанское	šāmpāyn, ﺷﺎﻣﭙﺎﯾﻦ
вермут	vermut, ورﻣﻮت
виски	viski, وﯾﺴﮑﻰ
водка	vodkā, ودﮐﺎ
джин	jin, ﺟﯿﻦ
коньяк	konyāk, ﮐﻨﯿﺎک
ром	araq-e neyšekar, ﻋﺮق ﻧﯿﺸﮑﺮ
кофе	qahve, ﻗﻬﻮه
чёрный кофе	qahve-ye talx, ﻗﻬﻮۀ ﺗﻠﺦ
кофе с молоком	šir-qahve, ﺷﯿﺮﻗﻬﻮه
капучино	kāpočino, ﮐﺎﭘﻮﭼﯿﻨﻮ
растворимый кофе	qahve-ye fowri, ﻗﻬﻮه ﻓﻮری
молоко	šir, ﺷﯿﺮ
коктейль	kuktel, ﮐﻮﮐﺘﻞ
молочный коктейль	kuktele šir, ﮐﻮﮐﺘﻞ ﺷﯿﺮ
сок	āb-e mive, آب ﻣﯿﻮه
томатный сок	āb-e gowjefarangi, آب ﮔﻮﺟﻪ ﻓﺮﻧﮕﯽ
апельсиновый сок	āb-e porteqāl, آب ﭘﺮﺗﻘﺎل
свежевыжатый сок	āb-e mive-ye taze, آب ﻣﯿﻮۀ ﺗﺎزه
пиво	ābejow, آﺑﺠﻮ
светлое пиво	ābejow-ye sabok, آﺑﺠﻮی ﺳﺒﮏ
тёмное пиво	ābejow-ye tire, آﺑﺠﻮی ﺗﯿﺮه
чай	čāy, ﭼﺎی
чёрный чай	čāy-e siyāh, ﭼﺎی ﺳﯿﺎه
зелёный чай	čāy-e sabz, ﭼﺎی ﺳﺒﺰ
